Tuntikirjanpito
Ti 15.1. 		2h		Aiheen valitseminen. Github-repositorion luominen.
Pe 18.1.		3h		Pelin perusta valmis, pallo ja mailat liikkuvat.
Ti 22.1.		5h		Luokkakaavio, testit, refaktorointi. Pallo ei liiku.
To 24.1.		3h		Pallo toimii vihdoin!
Ti 29.1.		7h		TestejŠ, luokkia, valikko, Pong on toimiva ja pelattavissa
Ma 4.2.			6h		Valikkoon nappeja, dokumentointia
Ti 5.2 			4h 		Taustamusiikki toimii, ei looppaa
Su 10.2			5h 		Kaavioita, luokkien parantelua
Ma 11.2			6h 		LisŠŠ kaavioita, dokumentointia
La 16.2 		4h		Ohjeet lisŠtty, luokkia paranneltu
Ke 20.2			8h		Luokkarakenne koki suuren muutoksen
To 21.2			7h		Luokkarakenteen muuttumisen myötä kaaviot uusiksi.
pe 22.2 		7h		Viimeistelyä ja dokumentointia
