Vesi 0                Maa 0
Puu 0                Kivi 0
Kukka 0                Kasvi 0
Banaani 0                Omena 0
Nimetön 0                Nimetön 0
Nimetön 1                Nimetön 1
Nimetön 1                Nimetön 0
Nimetön 0                Nimetön 0
Nimetön 0                Nimetön 0
Nimetön 1                Nimetön 0
Nimetön 0                Nimetön 0
Nimetön 0                Nimetön 0
Nimetön 0                Nimetön 0
Nimetön 1                Nimetön 1
Nimetön 0                Nimetön 0
